Column	Change to
Percent Graduation 4-Year Cohort (English Learner)	four_year_grads_english_learner
Percent Graduation 4-Year Cohort (Hawaiian/Pacific Islander)	four_year_grads_hawaiian_pacific_islander
Percent Graduation 4-Year Cohort (Hispanic)	four_year_grads_hispanic
Percent Graduation 4-Year Cohort (Students with Disabilities)	four_year_grads_sped
Percent Graduation 4-Year Cohort (White)	four_year_grads_white
Percent Graduation 5-Year Cohort (2 or More Races)	five_year_grads_mutliracial
Percent Graduation 5-Year Cohort (All Student)	five_year_grads_all
Percent Graduation 5-Year Cohort (American Indian/Alaska Native)	five_year_grads_american_indian_alaskan_native
Percent Graduation 5-Year Cohort (Asian)	five_year_grads_asian
Percent Graduation 5-Year Cohort (Black)	five_year_grads_black
Percent Graduation 5-Year Cohort (Combined Ethnicity)	five_year_grads_combined_ethnicity
Percent Graduation 5-Year Cohort (Economically Disadvantaged)	five_year_grads_poor
Percent Graduation 5-Year Cohort (English Learner)	five_year_grads_english_learner
Percent Graduation 5-Year Cohort (Hawaiian/Pacific Islander)	five_year_grads_hawaiian_pacific_islander
Percent Graduation 5-Year Cohort (Hispanic)	five_year_grads_hispanic
Percent Graduation 5-Year Cohort (Students with Disabilities)	five_year_grads_sped
Percent Graduation 5-Year Cohort (White)	five_year_grads_white
Percent Industry-Based Learning (2 or More Races)	ignore
Percent Industry-Based Learning (All Student)	ignore
Percent Industry-Based Learning (American Indian/Alaska Native)	ignore
Percent Industry-Based Learning (Asian)	ignore
Percent Industry-Based Learning (Black)	ignore
Percent Industry-Based Learning (Economically Disadvantaged)	ignore
Percent Industry-Based Learning (English Learner)	ignore
Percent Industry-Based Learning (Hawaiian/Pacific Islander)	ignore
Percent Industry-Based Learning (Hispanic)	ignore
Percent Industry-Based Learning (Students with Disabilities)	ignore
Percent Industry-Based Learning (White)	ignore
Percent Mathematics/Algebra I Test Participation (2 or More Races)	math_test_participation_multiracial
Percent Mathematics/Algebra I Test Participation (All Student Group)	math_test_participation_all
Percent Mathematics/Algebra I Test Participation (American Indian/Alaska Native)	math_test_participation_american_indian_alaskan_native
Percent Mathematics/Algebra I Test Participation (Asian)	math_test_participation_asian
Percent Mathematics/Algebra I Test Participation (Black)	math_test_participation_black
Percent Mathematics/Algebra I Test Participation (Combined Ethnicity)	math_test_participation_combined_ethnicity
Percent Mathematics/Algebra I Test Participation (Economically Disadvantaged)	math_test_participation_poor
Percent Mathematics/Algebra I Test Participation (English Learner)	math_test_participation_english_learner
Percent Mathematics/Algebra I Test Participation (Hawaiian/Pacific Islander)	math_test_participation_hawaiian_pacific_islander
Percent Mathematics/Algebra I Test Participation (Hispanic)	math_test_participation_hispanic
Percent Mathematics/Algebra I Test Participation (Students with Disabilities)	math_test_participation_sped
Percent Mathematics/Algebra I Test Participation (White)	math_test_participation_white
Percent of Completed Work-based Learning Experience	complete_work_based_learning
Percent of Earned Industry-Recognized Credential	earned_industry_recognized_credential
Percent of Gifted Students	school_gifted
Percent of Graduates: Post Secondary Transition to School, Military, or Work (2 or More Races)	college_military_workforce_grads_multiracial
Percent of Graduates: Post Secondary Transition to School, Military, or Work (American Indian/Alaska Native)	college_military_workforce_grads_american_indian_alaskan_native
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Asian)	college_military_workforce_grads_asian
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Black)	college_military_workforce_grads_black
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Economically Disadvantaged)	college_military_workforce_grads_poor
Percent of Graduates: Post Secondary Transition to School, Military, or Work (English Learner)	college_military_workforce_grads_english_learner
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Hawaiian/Pacific Islander)	college_military_workforce_grads_hawaiian_pacific_islander
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Hispanic)	college_military_workforce_grads_hispanic
Percent of Graduates: Post Secondary Transition to School, Military, or Work (Students with Disabilities)	college_military_workforce_grads_sped
Percent of Graduates: Post Secondary Transition to School, Military, or Work (White)	college_military_workforce_grads_white
Percent of Scoring Competent or Advanced on NOCTI/NIMS	ignore
Percent Proficient or Advanced ELA/Literature (2 or More Races)	english_proficient_advanced_multiracial
Percent Proficient or Advanced ELA/Literature (All Student)	english_proficient_advanced_all
Percent Proficient or Advanced ELA/Literature (American Indian/Alaska Native)	english_proficient_advanced_american_indian_alaskan_native
Percent Proficient or Advanced ELA/Literature (Asian)	english_proficient_advanced_asian
Percent Proficient or Advanced ELA/Literature (Black)	english_proficient_advanced_black
Percent Proficient or Advanced ELA/Literature (Economically Disadvantaged)	english_proficient_advanced_poor
Percent Proficient or Advanced ELA/Literature (English Learner)	english_proficient_advanced_english_learner
Percent Proficient or Advanced ELA/Literature (Hawaiian/Pacific Islander)	english_proficient_advanced_hawaiian_pacific_islander
Percent Proficient or Advanced ELA/Literature (Hispanic)	english_proficient_advanced_hispanic
Percent Proficient or Advanced ELA/Literature (Students with Disabilities)	english_proficient_advanced_sped
Percent Proficient or Advanced ELA/Literature (White)	english_proficient_advanced_white
Percent Proficient or Advanced Mathematics/Algebra 1 (2 or More Races)	math_proficient_advanced_multiracial
Percent Proficient or Advanced Mathematics/Algebra 1 (All Student)	math_proficient_advanced_all
Percent Proficient or Advanced Mathematics/Algebra 1 (American Indian/Alaska Native)	math_proficient_advanced_american_indian_alaskan_native
Percent Proficient or Advanced Mathematics/Algebra 1 (Asian)	math_proficient_advanced_asian
Percent Proficient or Advanced Mathematics/Algebra 1 (Black)	math_proficient_advanced_black
Percent Proficient or Advanced Mathematics/Algebra 1 (Economically Disadvantaged)	math_proficient_advanced_poor
Percent Proficient or Advanced Mathematics/Algebra 1 (English Learner)	math_proficient_advanced_english_learner
Percent Proficient or Advanced Mathematics/Algebra 1 (Hawaiian/Pacific Islander)	math_proficient_advanced_hawaiian_pacific_islander
Percent Proficient or Advanced Mathematics/Algebra 1 (Hispanic)	math_proficient_advanced_hispanic
Percent Proficient or Advanced Mathematics/Algebra 1 (Students with Disabilities)	math_proficient_advanced_sped
Percent Proficient or Advanced Mathematics/Algebra 1 (White)	math_proficient_advanced_white
Percent Proficient or Advanced on ELA/Literature (Combined Ethnicity)	english_proficient_advanced_combined_ethnicity
Percent Proficient or Advanced on Mathematics/Algebra 1 (Combined Ethnicity)	math_proficient_advanced_combined_ethnicity
Percent Proficient or Advanced on Science/Biology (Combined Ethnicity)	science_proficient_advanced_combined_ethnicity
Percent Proficient or Advanced Science/Biology (2 or More Races)	science_proficient_advanced_multiracial
Percent Proficient or Advanced Science/Biology (All Student)	science_proficient_advanced_all
Percent Proficient or Advanced Science/Biology (American Indian/Alaska Native)	science_proficient_advanced_american_indian_alaskan_native
Percent Proficient or Advanced Science/Biology (Asian)	science_proficient_advanced_asian
Percent Proficient or Advanced Science/Biology (Black)	science_proficient_advanced_black
Percent Proficient or Advanced Science/Biology (Economically Disadvantaged)	science_proficient_advanced_poor
Percent Proficient or Advanced Science/Biology (English Learner)	science_proficient_advanced_english_learner
Percent Proficient or Advanced Science/Biology (Hawaiian/Pacific Islander)	science_proficient_advanced_hawaiian_pacific_islander
Percent Proficient or Advanced Science/Biology (Hispanic)	science_proficient_advanced_hispanic
Percent Proficient or Advanced Science/Biology (Students with Disabilities)	science_proficient_advanced_sped
Percent Proficient or Advanced Science/Biology (White)	science_proficient_advanced_white
Percent Regular Attendance (2 or More Races)	regular_attendance_multiracial
Percent Regular Attendance (All Student)	regular_attendance_all
Percent Regular Attendance (American Indian/Alaska Native)	regular_attendance_american_indian_alaskan_native
Percent Regular Attendance (Asian)	regular_attendance_asian
Percent Regular Attendance (Black)	regular_attendance_black
Percent Regular Attendance (Combined Ethnicity)	regular_attendance_combined_ethnicity
Percent Regular Attendance (Economically Disadvantaged)	regular_attendance_poor
Percent Regular Attendance (English Learner)	regular_attendance_english_learner
Percent Regular Attendance (Hawaiian/Pacific Islander)	regular_attendance_hawaiian_pacific_islander
Percent Regular Attendance (Hispanic)	regular_attendance_hispanic
Percent Regular Attendance (Students with Disabilities)	regular_attendance_sped
Percent Regular Attendance (White)	regular_attendance_white
Percent Rigorous Courses of Study (2 or More Races)	rigorous_courses_multiracial
Percent Rigorous Courses of Study (All Student)	rigorous_courses_all
Percent Rigorous Courses of Study (American Indian/Alaska Native)	rigorous_courses_american_indian_alaskan_native
Percent Rigorous Courses of Study (Asian)	rigorous_courses_asian
Percent Rigorous Courses of Study (Black)	rigorous_courses_black
Percent Rigorous Courses of Study (Economically Disadvantaged)	rigorous_courses_poor
Percent Rigorous Courses of Study (English Learner)	rigorous_courses_english_learner
Percent Rigorous Courses of Study (Hawaiian/Pacific Islander)	rigorous_courses_hawaiian_pacific_islander
Percent Rigorous Courses of Study (Hispanic)	rigorous_courses_hispanic
Percent Rigorous Courses of Study (Students with Disabilities)	rigorous_courses_sped
Percent Rigorous Courses of Study (White)	rigorous_courses_white
Percent Science/Biology Test Participation (All Student Group)	science_test_participation_all
Percent Science/Biology Test Participation (American Indian/Alaska Native)	science_test_participation_american_indian_alaskan_native
Percent Science/Biology Test Participation (Asian)	science_test_participation_asian
Percent Science/Biology Test Participation (Black)	science_test_participation_black
Percent Science/Biology Test Participation (Combined Ethnicity)	science_test_participation_combined_ethnicity
Percent Science/Biology Test Participation (Economically Disadvantaged)	science_test_participation_poor
Percent Science/Biology Test Participation (English Learner)	science_test_participation_english_learner
Percent Science/Biology Test Participation (Hawaiian/Pacific Islander)	science_test_participation_hawaiian_pacific_islander
Percent Science/Biology Test Participation (Hispanic)	science_test_participation_hispanic
Percent Science/Biology Test Participation (Students with Disabilities)	science_test_participation_sped
Percent Science/Biology Test Participation (White)	science_test_participation_white
Percent Science/Biology Test Participation(2 or More Races)	science_test_participation_multiracial
School Address (City)	school_city
School Address (State)	school_state
School Address (Street)	school_address
School Enrollment	school_enrollment
School Name	school_name
School Zip Code	school_zip
Special Education	school_sped
Statewide 2030 Goal ESSA GOAL Percent Proficient or Advanced on ELA/Literature (All Student)	ignore
Statewide 2030 Goal ESSA GOAL Percent Proficient or Advanced on Mathematics/Algebra 1 (All Student)	ignore
Statewide 2030 Goal Percent Proficient or Advanced on Science/Biology (All Student)	ignore
Telephone Number	ignore
Title I School	title_i
Website	ignore
White	school_white
